bin,afb,fl,s3,s4,s5,s7,s8,s9
0,0.008421043,0.050642387,0.006028318,0.006011149,0.010620912,0.01690141,0.009465843,0.007420012
1,0.031958456,0.043174103,0.005362999,0.017208888,0.03131983,0.032832075,0.014102829,0.005376433
2,0.029395083,0.033639674,0.004087851,0.020094489,0.04088274,0.040876855,0.014441579,0.002259275
3,0.039618898,0.049095509,0.008459035,0.020410626,0.036673894,0.048110424,0.014270949,0.00463299
4,0.047281367,0.050785047,0.013499076,0.015210025,0.024983686,0.05580957,0.018058973,0.007750928
5,0.030140937,0.035540313,0.019064529,0.009214586,0.021693352,0.031246764,0.00989708,0.008629065
6,0.033931448,0.027989764,0.015277073,0.00788762,0.020987117,0.028193699,0.008766905,0.013438826
7,0.023627118,0.036636677,0.014356523,0.004662026,0.01412856,0.002298434,0.001398427,0.000413891
8,0.028058385,0.039889615,0.004989284,0.020034256,0.035021723,0.038384476,0.015673148,0.002427627
9,0.032230292,0.024825566,0.018582256,0.007756328,0.021417395,0.028651439,0.009938475,0.009784524
