bin,afb,fl,s3,s4,s5,s7,s8,s9
0,-0.09705156,0.29644766,0.010875732,0.090919112,0.252906863,-0.020671881,-0.002153329,-0.000701119
1,-0.137986715,0.76039564,0.002372777,-0.025358967,0.054524188,-0.02711743,-0.006876942,-0.000785965
2,-0.017385034,0.796265493,-0.010863779,-0.151610467,-0.193015399,-0.01996234,-0.006587303,-0.000735091
3,0.122155063,0.711290396,-0.02475144,-0.224203739,-0.337139676,-0.01338285,-0.005061657,-0.000706417
4,0.239939492,0.606965145,-0.039753802,-0.259699385,-0.403553761,-0.008737629,-0.003688892,-0.000715337
5,0.401914471,0.348440756,-0.173463803,-0.294318547,-0.318728429,-0.001376711,0.000323105,0.000291886
6,0.318390792,0.328081002,-0.251488027,-0.310007118,-0.226257512,-0.000561081,0.000118738,0.000169098
7,0.391389954,0.435190382,-0.085974842,-0.281588561,-0.406803298,-0.002193674,0.001050625,0.000448919
8,0.004929118,0.747643714,-0.012641217,-0.142820846,-0.17667389,-0.01936245,-0.00604614,-0.000738538
9,0.367671685,0.340156049,-0.204962982,-0.300427348,-0.280936133,-0.001039226,0.000240228,0.000241991
